"data.tag_ids","data.id","data.user_id","data.user_login","data.user_name","data.game_id","data.game_name","data.type","data.title","data.viewer_count","data.started_at","data.language","data.thumbnail_url","data.is_mature","pagination.cursor"
"6ea6bca4-4712-4ab9-a906-e3336a9d8039","43071154812","663294488","ranboobutnot","ranboobutnot","27471","Minecraft","live","Ranboo is ranbooing","31760","2021-08-26T02:52:02Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_ranboobutnot-{width}x{height}.jpg","False","eyJiIjp7IkN1cnNvciI6ImV5SnpJam96TVRjMk1DNDJOVGcwTmpnek5qUTJOVGdzSW1RaU9tWmhiSE5sTENKMElqcDBjblZsZlE9PSJ9LCJhIjp7IkN1cnNvciI6ImV5SnpJam94TnpjNExqRTVPRFEyTmpNNU9UYzVNemNzSW1RaU9tWmhiSE5sTENKMElqcDBjblZsZlE9PSJ9fQ"
"6ea6bca4-4712-4ab9-a906-e3336a9d8039","39876284411","71190292","trainwreckstv","Trainwreckstv","498566","Slots","live","18+ need 5M's TODAY PLEASE #ad | !twitter | !youtube | !podcast","30101","2021-08-26T00:46:37Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_trainwreckstv-{width}x{height}.jpg","True","eyJiIjp7IkN1cnNvciI6ImV5SnpJam96TVRjMk1DNDJOVGcwTmpnek5qUTJOVGdzSW1RaU9tWmhiSE5sTENKMElqcDBjblZsZlE9PSJ9LCJhIjp7IkN1cnNvciI6ImV5SnpJam94TnpjNExqRTVPRFEyTmpNNU9UYzVNemNzSW1RaU9tWmhiSE5sTENKMElqcDBjblZsZlE9PSJ9fQ"
"8a2e2801-c9ca-4bfa-8be8-4bcefdd08da0","39876284411","71190292","trainwreckstv","Trainwreckstv","498566","Slots","live","18+ need 5M's TODAY PLEASE #ad | !twitter | !youtube | !podcast","30101","2021-08-26T00:46:37Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_trainwreckstv-{width}x{height}.jpg","True","eyJiIjp7IkN1cnNvciI6ImV5SnpJam96TVRjMk1DNDJOVGcwTmpnek5qUTJOVGdzSW1RaU9tWmhiSE5sTENKMElqcDBjblZsZlE9PSJ9LCJhIjp7IkN1cnNvciI6ImV5SnpJam94TnpjNExqRTVPRFEyTmpNNU9UYzVNemNzSW1RaU9tWmhiSE5sTENKMElqcDBjblZsZlE9PSJ9fQ"
"9a1654d9-904a-4898-85cf-5c4abdaa7d5b","39876284411","71190292","trainwreckstv","Trainwreckstv","498566","Slots","live","18+ need 5M's TODAY PLEASE #ad | !twitter | !youtube | !podcast","30101","2021-08-26T00:46:37Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_trainwreckstv-{width}x{height}.jpg","True","eyJiIjp7IkN1cnNvciI6ImV5SnpJam96TVRjMk1DNDJOVGcwTmpnek5qUTJOVGdzSW1RaU9tWmhiSE5sTENKMElqcDBjblZsZlE9PSJ9LCJhIjp7IkN1cnNvciI6ImV5SnpJam94TnpjNExqRTVPRFEyTmpNNU9UYzVNemNzSW1RaU9tWmhiSE5sTENKMElqcDBjblZsZlE9PSJ9fQ"
"6ea6bca4-4712-4ab9-a906-e3336a9d8039","43423394429","26154978","sykkuno","Sykkuno","278888515","Gartic Phone","live","gartic !!","25792","2021-08-25T23:43:50Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_sykkuno-{width}x{height}.jpg","False","eyJiIjp7IkN1cnNvciI6ImV5SnpJam96TVRjMk1DNDJOVGcwTmpnek5qUTJOVGdzSW1RaU9tWmhiSE5sTENKMElqcDBjblZsZlE9PSJ9LCJhIjp7IkN1cnNvciI6ImV5SnpJam94TnpjNExqRTVPRFEyTmpNNU9UYzVNemNzSW1RaU9tWmhiSE5sTENKMElqcDBjblZsZlE9PSJ9fQ"
"6606e54c-f92d-40f6-8257-74977889ccdd","43423394429","26154978","sykkuno","Sykkuno","278888515","Gartic Phone","live","gartic !!","25792","2021-08-25T23:43:50Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_sykkuno-{width}x{height}.jpg","False","eyJiIjp7IkN1cnNvciI6ImV5SnpJam96TVRjMk1DNDJOVGcwTmpnek5qUTJOVGdzSW1RaU9tWmhiSE5sTENKMElqcDBjblZsZlE9PSJ9LCJhIjp7IkN1cnNvciI6ImV5SnpJam94TnpjNExqRTVPRFEyTmpNNU9UYzVNemNzSW1RaU9tWmhiSE5sTENKMElqcDBjblZsZlE9PSJ9fQ"
"6ea6bca4-4712-4ab9-a906-e3336a9d8039","43421637533","51496027","loltyler1","loltyler1","21779","League of Legends","live","RETURNER COME WINNER ALWAYS ! that how DO IT ! GIANT LEGEND !!! WOOT !!!!!!!","25301","2021-08-25T21:32:12Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_loltyler1-{width}x{height}.jpg","False","eyJiIjp7IkN1cnNvciI6ImV5SnpJam96TVRjMk1DNDJOVGcwTmpnek5qUTJOVGdzSW1RaU9tWmhiSE5sTENKMElqcDBjblZsZlE9PSJ9LCJhIjp7IkN1cnNvciI6ImV5SnpJam94TnpjNExqRTVPRFEyTmpNNU9UYzVNemNzSW1RaU9tWmhiSE5sTENKMElqcDBjblZsZlE9PSJ9fQ"
"6ea6bca4-4712-4ab9-a906-e3336a9d8039","39875239259","26490481","summit1g","summit1g","500188","Hunt: Showdown","live","Huntin. Merch dropped summit1g.gg  [ @summit1g ]","19791","2021-08-25T20:41:31Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_summit1g-{width}x{height}.jpg","False","eyJiIjp7IkN1cnNvciI6ImV5SnpJam96TVRjMk1DNDJOVGcwTmpnek5qUTJOVGdzSW1RaU9tWmhiSE5sTENKMElqcDBjblZsZlE9PSJ9LCJhIjp7IkN1cnNvciI6ImV5SnpJam94TnpjNExqRTVPRFEyTmpNNU9UYzVNemNzSW1RaU9tWmhiSE5sTENKMElqcDBjblZsZlE9PSJ9fQ"
"6ea6bca4-4712-4ab9-a906-e3336a9d8039","43066303100","95873995","ramee","Ramee","32982","Grand Theft Auto V","live","Ramee | !Merch IS LIVE! !Twitter !GFuel | Chang Gang | NoPixel","19590","2021-08-25T18:45:49Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_ramee-{width}x{height}.jpg","False","eyJiIjp7IkN1cnNvciI6ImV5SnpJam96TVRjMk1DNDJOVGcwTmpnek5qUTJOVGdzSW1RaU9tWmhiSE5sTENKMElqcDBjblZsZlE9PSJ9LCJhIjp7IkN1cnNvciI6ImV5SnpJam94TnpjNExqRTVPRFEyTmpNNU9UYzVNemNzSW1RaU9tWmhiSE5sTENKMElqcDBjblZsZlE9PSJ9fQ"
"6ea6bca4-4712-4ab9-a906-e3336a9d8039","43426753965","641972806","imkaicenat","ImKaiCenat","489050","Twelve Minutes","live","NAH WE TWEAKIN","17606","2021-08-26T03:24:47Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_imkaicenat-{width}x{height}.jpg","False","eyJiIjp7IkN1cnNvciI6ImV5SnpJam96TVRjMk1DNDJOVGcwTmpnek5qUTJOVGdzSW1RaU9tWmhiSE5sTENKMElqcDBjblZsZlE9PSJ9LCJhIjp7IkN1cnNvciI6ImV5SnpJam94TnpjNExqRTVPRFEyTmpNNU9UYzVNemNzSW1RaU9tWmhiSE5sTENKMElqcDBjblZsZlE9PSJ9fQ"
